time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.011919999999999998
time: 1.0, P0: 0.9736224709956303, P1: 0.01991603956590766, P2: 0.006461489438462115, TI2: 0.02475901844283189
time: 2.0, P0: 0.9623155994007387, P1: 0.025741555346279418, P2: 0.011942845252981811, TI2: 0.04154724585224305
time: 3.0, P0: 0.9452551939685703, P1: 0.03622280403457068, P2: 0.018522001996859057, TI2: 0.06518680802828881
time: 4.0, P0: 0.9207080007005559, P1: 0.05169995382580053, P2: 0.027592045473643585, TI2: 0.09880404477308771
time: 5.0, P0: 0.8863922331981471, P1: 0.07311888246271338, P2: 0.04048888433913955, TI2: 0.14601665114099247
time: 6.0, P0: 0.839902660601434, P1: 0.10140028450749718, P2: 0.058697054891068814, TI2: 0.21071439428963482
time: 7.0, P0: 0.779508681309545, P1: 0.13644517545913198, P2: 0.08404614323132312, TI2: 0.29645746192177824
time: 8.0, P0: 0.7049008807288325, P1: 0.17745839422454446, P2: 0.1176407250466231, TI2: 0.4046598443177906
time: 9.0, P0: 0.6190234452591198, P1: 0.2199354579372757, P2: 0.16104109680360462, TI2: 0.5339376515444849
time: 10.0, P0: 0.5270090699975427, P1: 0.26066189581455634, P2: 0.2123290341879009, TI2: 0.677239964190358
time: 11.0, P0: 0.4368787938418152, P1: 0.29349644056938423, P2: 0.2696247655888005, TI2: 0.8246659717469851
time: 12.0, P0: 0.35557375482185166, P1: 0.31666009316042254, P2: 0.32776615201772574, TI2: 0.9641123971958739
time: 13.0, P0: 0.2879501412333889, P1: 0.3298108733571851, P2: 0.382238985409426, TI2: 1.086208844176037
time: 14.0, P0: 0.23544892381303284, P1: 0.33509302487537174, P2: 0.4294580513115955, TI2: 1.1859291274985626
time: 15.0, P0: 0.19657535944192783, P1: 0.3363906223879896, P2: 0.4670340181700826, TI2: 1.2623786587281547
time: 16.0, P0: 0.16917384903526397, P1: 0.33489500348166273, P2: 0.49593114748307343, TI2: 1.3186772984478095
time: 17.0, P0: 0.1502128103632766, P1: 0.333023278160171, P2: 0.5167639114765525, TI2: 1.358471101113276
time: 18.0, P0: 0.13741666385478543, P1: 0.3310993961976196, P2: 0.531483939947595, TI2: 1.3859872760928096
time: 19.0, P0: 0.12887803244659524, P1: 0.32949978907605126, P2: 0.5416221784773535, TI2: 1.4046641460307583
time: 20.0, P0: 0.12320465532809781, P1: 0.32835582325483403, P2: 0.5484395214170682, TI2: 1.4171548660889703
time: 21.0, P0: 0.11946321032375282, P1: 0.3275380048658077, P2: 0.5529987848104395, TI2: 1.4254555744866868
time: 22.0, P0: 0.1170504490281396, P1: 0.32684440215096017, P2: 0.5561051488209003, TI2: 1.4309746997927608
time: 23.0, P0: 0.11535911994767113, P1: 0.3267088642214608, P2: 0.5579320158308682, TI2: 1.4344928958831973
time: 24.0, P0: 0.11441317439083087, P1: 0.3261047410680354, P2: 0.5594820845411338, TI2: 1.4369889101503033
time: 25.0, P0: 0.11364200366915848, P1: 0.3262127976667162, P2: 0.5601451986641255, TI2: 1.4384231949949673
time: 26.0, P0: 0.11314074389924592, P1: 0.3262629037250783, P2: 0.560596352375676, TI2: 1.4393756084764304
time: 27.0, P0: 0.11307782797354522, P1: 0.3254034732341401, P2: 0.5615186987923149, TI2: 1.4403608708187698
time: 28.0, P0: 0.11272613664740257, P1: 0.32589850416313737, P2: 0.5613753591894602, TI2: 1.4405692225420579
time: 29.0, P0: 0.11265410982173701, P1: 0.3256786729445161, P2: 0.5616672172337471, TI2: 1.4409331074120104
time: 30.0, P0: 0.11254678982982366, P1: 0.3257422581426188, P2: 0.5617109520275577, TI2: 1.4410841621977344
time: 31.0, P0: 0.11247588127870126, P1: 0.32578620511351675, P2: 0.5617379136077821, TI2: 1.4411820323290812
time: 32.0, P0: 0.11246460394870483, P1: 0.3256945681253566, P2: 0.5618408279259388, TI2: 1.4412962239772342
time: 33.0, P0: 0.11237666109296181, P1: 0.32591165380727405, P2: 0.5617116850997643, TI2: 1.441255024006803
time: 34.0, P0: 0.11245397808291825, P1: 0.3255899074797431, P2: 0.5619561144373388, TI2: 1.4414221363544208
