time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: -7.999999999999674e-05
time: 1.0, P0: 0.9854961928644502, P1: 0.011385929018004264, P2: 0.003117878117545512, TI2: -0.0024583147469047074
time: 2.0, P0: 0.9882165466831373, P1: 0.00899505988957725, P2: 0.002788393427285536, TI2: -0.005508153255851674
time: 3.0, P0: 0.990314985618924, P1: 0.007377208337795216, P2: 0.002307806043280846, TI2: -0.008087179575643089
time: 4.0, P0: 0.9920275351565091, P1: 0.006072995530835462, P2: 0.0018994693126554484, TI2: -0.010208065843853639
time: 5.0, P0: 0.9934345095727302, P1: 0.005000312284478335, P2: 0.0015651781427915336, TI2: -0.011949331429938594
time: 6.0, P0: 0.9945879332759596, P1: 0.004126591002238036, P2: 0.0012854757218022609, TI2: -0.013382457554157439
time: 7.0, P0: 0.9955387863774933, P1: 0.003402501094203845, P2: 0.0010587125283028054, TI2: -0.014560073849190542
time: 8.0, P0: 0.9963225186353794, P1: 0.002803683563805939, P2: 0.0008737978008145656, TI2: -0.015528720834564927
time: 9.0, P0: 0.9969680613358798, P1: 0.0023102551151872805, P2: 0.0007216835489328988, TI2: -0.01632637778694692
time: 10.0, P0: 0.9974988867557477, P1: 0.0019064313468977751, P2: 0.0005946818973544976, TI2: -0.016984204858393227
time: 11.0, P0: 0.9979350422599306, P1: 0.0015771279823984631, P2: 0.0004878297576708737, TI2: -0.017527212502259783
time: 12.0, P0: 0.9982965471565846, P1: 0.0013005918084415169, P2: 0.0004028610349738559, TI2: -0.017973686121610766
time: 13.0, P0: 0.9985950393825759, P1: 0.001071540301427796, P2: 0.0003334203159961925, TI2: -0.018341619066579815
time: 14.0, P0: 0.9988408376510376, P1: 0.000883655772816313, P2: 0.0002755065761459235, TI2: -0.018645331074891837
time: 15.0, P0: 0.9990434489506791, P1: 0.0007290672468643624, P2: 0.0002274838024564087, TI2: -0.018895965148222817
time: 16.0, P0: 0.9992100334390869, P1: 0.0006030376859366935, P2: 0.00018692887497627933, TI2: -0.019103104564110747
time: 17.0, P0: 0.9993475811112893, P1: 0.0004987999329649124, P2: 0.00015361895574561324, TI2: -0.019273962155543858
time: 18.0, P0: 0.9994622869503151, P1: 0.0004096333204758881, P2: 0.0001280797292087774, TI2: -0.019414207221106556
time: 19.0, P0: 0.9995562029167353, P1: 0.00033800439067205643, P2: 0.00010579269259251072, TI2: -0.01953041022414292
time: 20.0, P0: 0.9996333992397711, P1: 0.00027971099111168916, P2: 8.688976911711994e-05, TI2: -0.01962650947065407
time: 21.0, P0: 0.9996972181752237, P1: 0.0002313244335450739, P2: 7.145739123109718e-05, TI2: -0.01970576078399273
time: 22.0, P0: 0.9997498772264393, P1: 0.00019143011749400007, P2: 5.869265606656353e-05, TI2: -0.01977118457037287
time: 23.0, P0: 0.9997938752993757, P1: 0.00015710543223352224, P2: 4.901926839067397e-05, TI2: -0.019824856030985126
time: 24.0, P0: 0.9998303133747934, P1: 0.00012845736979299644, P2: 4.1229255413431684e-05, TI2: -0.019869084119380136
time: 25.0, P0: 0.9998592063563794, P1: 0.00010791702616896107, P2: 3.287661745159242e-05, TI2: -0.01990632973892785
time: 26.0, P0: 0.9998833277413153, P1: 9.025155917004204e-05, P2: 2.6420699514625265e-05, TI2: -0.019936907041800705
time: 27.0, P0: 0.9999039712276356, P1: 7.375124903716579e-05, P2: 2.227752332713333e-05, TI2: -0.019961693704308565
time: 28.0, P0: 0.9999209599328455, P1: 6.026809795238811e-05, P2: 1.8771969202111962e-05, TI2: -0.019982187963643382
time: 29.0, P0: 0.9999349926121911, P1: 4.911594240397837e-05, P2: 1.5891445404849848e-05, TI2: -0.019999101166786316
time: 30.0, P0: 0.9999462079883624, P1: 4.0876740528362616e-05, P2: 1.2915271109176037e-05, TI2: -0.02001329271725328
time: 31.0, P0: 0.9999548780083223, P1: 3.561820857261414e-05, P2: 9.503783105054314e-06, TI2: -0.020025374225217274
time: 32.0, P0: 0.9999633042721338, P1: 2.795046794058967e-05, P2: 8.745259925546583e-06, TI2: -0.02003455901220831
time: 33.0, P0: 0.9999698948511752, P1: 2.2579019468994388e-05, P2: 7.526129355739769e-06, TI2: -0.02004236872181952
time: 34.0, P0: 0.9999750328717335, P1: 1.8938479544408544e-05, P2: 6.02864872207339e-06, TI2: -0.020049004223011438
time: 35.0, P0: 0.999979315256227, P1: 1.582629467636875e-05, P2: 4.858449096654046e-06, TI2: -0.020054456807130316
time: 36.0, P0: 0.9999826602015933, P1: 1.375612642960811e-05, P2: 3.5836719770391435e-06, TI2: -0.020059076529616308
time: 37.0, P0: 0.9999858729779038, P1: 1.0863752829877306e-05, P2: 3.263269266350845e-06, TI2: -0.020062609708637415
time: 38.0, P0: 0.9999885906341092, P1: 8.304616880837784e-06, P2: 3.104749009956135e-06, TI2: -0.020065485885099245
time: 39.0, P0: 0.9999904803249511, P1: 7.119699354802544e-06, P2: 2.39997569415393e-06, TI2: -0.020068080349256886
time: 40.0, P0: 0.9999919255387794, P1: 6.442533925609154e-06, P2: 1.6319272950441544e-06, TI2: -0.020070293611484297
time: 41.0, P0: 0.9999931219178326, P1: 5.874907714253012e-06, P2: 1.0031744530839951e-06, TI2: -0.020072118743379573
time: 42.0, P0: 0.9999947455161549, P1: 3.739062639020596e-06, P2: 1.5154212061052828e-06, TI2: -0.02007323009494876
time: 43.0, P0: 0.9999959221957713, P1: 2.404960282588749e-06, P2: 1.6728439461759455e-06, TI2: -0.020074249351825054
time: 44.0, P0: 0.9999961136343487, P1: 3.3485025827449067e-06, P2: 5.378630685293168e-07, TI2: -0.02007557577128019
time: 45.0, P0: 0.9999964956249924, P1: 3.5403127014419937e-06, P2: -3.593769387661721e-08, TI2: -0.020076531562686305
time: 46.0, P0: 0.9999972557955452, P1: 2.5324581708573214e-06, P2: 2.117462839057226e-07, TI2: -0.020077044049261323
time: 47.0, P0: 0.9999979970447593, P1: 1.4023608382057548e-06, P2: 6.005944025301895e-07, TI2: -0.020077396450356725
time: 48.0, P0: 0.9999986066086126, P1: 4.7563990767152007e-07, P2: 9.177514797418347e-07, TI2: -0.020077688857132837
time: 49.0, P0: 0.9999984049857162, P1: 1.558540512327631e-06, P2: 3.647377139127848e-08, TI2: -0.02007836851194488
time: 50.0, P0: 0.9999985528739973, P1: 1.6284115122760453e-06, P2: -1.8128550960921534e-07, TI2: -0.020078734159506933
