time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.0010979999999999983
time: 52.0, P0: 0.9821159564176976, P1: 0.015041048870807852, P2: 0.002842994711494612, TI2: 0.0018250382937970765
time: 53.0, P0: 0.9821094796686046, P1: 0.015057272735665077, P2: 0.002833247595730313, TI2: 0.0018217679271257026
time: 54.0, P0: 0.9821146723948379, P1: 0.015045852219791435, P2: 0.0028394753853706045, TI2: 0.0018228029905326447
time: 55.0, P0: 0.9821130795088893, P1: 0.015050499281801894, P2: 0.002836421209308763, TI2: 0.001821341700419421
time: 56.0, P0: 0.9821149424755248, P1: 0.015046956441370017, P2: 0.0028381010831051356, TI2: 0.0018211586075802888
time: 57.0, P0: 0.9821154079602119, P1: 0.015046719127549589, P2: 0.002837872912238398, TI2: 0.001820464952026385
time: 58.0, P0: 0.9821158237933107, P1: 0.015046594948223519, P2: 0.002837581258465546, TI2: 0.0018197574651546112
time: 59.0, P0: 0.9821179687594589, P1: 0.015042370775521454, P2: 0.0028396604650195376, TI2: 0.0018196917055605286
time: 60.0, P0: 0.982114979693961, P1: 0.015050302428062354, P2: 0.0028347178779764438, TI2: 0.0018177381840152405
time: 61.0, P0: 0.9821210749045624, P1: 0.01503671306053228, P2: 0.0028422120349051914, TI2: 0.0018191371303426624
time: 62.0, P0: 0.9821162183895046, P1: 0.015049059102303676, P2: 0.0028347225081915193, TI2: 0.0018165041186867148
time: 63.0, P0: 0.9821192479356003, P1: 0.01504272220702921, P2: 0.002838029857370133, TI2: 0.0018167819217694734
time: 64.0, P0: 0.982121469601745, P1: 0.015038294500616271, P2: 0.002840235897638463, TI2: 0.0018167662958931958
time: 65.0, P0: 0.9821151543255391, P1: 0.01505408271205952, P2: 0.0028307629624011003, TI2: 0.0018136086368617213
time: 66.0, P0: 0.9821225680525749, P1: 0.015037348719807934, P2: 0.0028400832276168787, TI2: 0.0018155151750416925
time: 67.0, P0: 0.9821172558500806, P1: 0.015050752557043702, P2: 0.0028319915928753945, TI2: 0.0018127357427944904
time: 68.0, P0: 0.9821225570571768, P1: 0.01503901368421047, P2: 0.0028384292586124942, TI2: 0.0018138722014354586
time: 69.0, P0: 0.9821201702904451, P1: 0.01504548000095983, P2: 0.0028343497085948632, TI2: 0.0018121794181495563
time: 70.0, P0: 0.9821237595825298, P1: 0.015037787484352687, P2: 0.0028384529331172163, TI2: 0.0018126933505871192
