time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: -8.000000000000021e-05(neg)
time: 52.0, P0: 0.9988769271598574, P1: 0.0009555721595917426, P2: 0.00016750068055059725, TI2: -0.01878942647930706
time: 53.0, P0: 0.9989323782542209, P1: 0.0009105378321234782, P2: 0.00015708391365533626, TI2: -0.018855294340565848
time: 54.0, P0: 0.9989875670800021, P1: 0.0008617809347400582, P2: 0.0001506519852575039, TI2: -0.018916915094744934
time: 55.0, P0: 0.9990380970267394, P1: 0.0008198495911129562, P2: 0.00014205338214742574, TI2: -0.018976043644592194
time: 56.0, P0: 0.9990875415561954, P1: 0.0007765636259959368, P2: 0.0001358948178084049, TI2: -0.019031646738387253
time: 57.0, P0: 0.9991329786916859, P1: 0.0007389853584535604, P2: 0.0001280359498602164, TI2: -0.019084942741826007
time: 58.0, P0: 0.9991778007989768, P1: 0.0006993383415941553, P2: 0.0001228608594288236, TI2: -0.019134939939548196
time: 59.0, P0: 0.9992183746821311, P1: 0.0006663346644498092, P2: 0.00011529065341878253, TI2: -0.019183084028712626
time: 60.0, P0: 0.9992588246689356, P1: 0.0006304596822058734, P2: 0.00011071564885830285, TI2: -0.01922810902007752
time: 61.0, P0: 0.9992958685879424, P1: 0.0005995828972458369, P2: 0.00010454851481148721, TI2: -0.019271320073131187
time: 62.0, P0: 0.9993308648184928, P1: 0.0005706677807298565, P2: 9.84674007771495e-05, TI2: -0.019312397417715843
time: 63.0, P0: 0.9993655500987997, P1: 0.000539781332521584, P2: 9.466856867849242e-05, TI2: -0.01935088153012143
time: 64.0, P0: 0.999396536600321, P1: 0.0005150172824349455, P2: 8.84461172438305e-05, TI2: -0.019388090483077394
time: 65.0, P0: 0.9994278059616748, P1: 0.00048715615695389225, P2: 8.503788137112129e-05, TI2: -0.019422768080303864
time: 66.0, P0: 0.9994563441117167, P1: 0.0004634000849777807, P2: 8.025580330522348e-05, TI2: -0.01945608830841177
time: 67.0, P0: 0.9994841129315711, P1: 0.00043925953507342264, P2: 7.662753335518927e-05, TI2: -0.0194874853982162
time: 68.0, P0: 0.9995099945657173, P1: 0.0004174712013104368, P2: 7.253423297191178e-05, TI2: -0.01951746033274574
time: 69.0, P0: 0.9995350652650438, P1: 0.00039561352049438366, P2: 6.93212144615708e-05, TI2: -0.019545744050582476
time: 70.0, P0: 0.9995579128535652, P1: 0.00037710316028300936, P2: 6.498398615152941e-05, TI2: -0.019572928867413932
time: 71.0, P0: 0.9995813159014288, P1: 0.00035551034403787725, P2: 6.317375453301002e-05, TI2: -0.019598142146896102
time: 72.0, P0: 0.9996009794299634, P1: 0.0003410114941496784, P2: 5.800907588670712e-05, TI2: -0.019622970354076907
time: 73.0, P0: 0.9996219934874938, P1: 0.00032173917623058105, P2: 5.626733627531571e-05, TI2: -0.01964572615121879
time: 74.0, P0: 0.9996404995143191, P1: 0.00030683594024660376, P2: 5.266454543397619e-05, TI2: -0.019667834968885446
time: 75.0, P0: 0.9996591596938574, P1: 0.00029012724948750254, P2: 5.071305665480542e-05, TI2: -0.01968844663720289
time: 76.0, P0: 0.9996759713955693, P1: 0.0002763891887507765, P2: 4.763941567970274e-05, TI2: -0.01970833197988982
time: 77.0, P0: 0.9996928250968768, P1: 0.00026125176873362076, P2: 4.5923134389401924e-05, TI2: -0.019726901962487577
time: 78.0, P0: 0.9997078663851536, P1: 0.0002491357136266979, P2: 4.299790121953239e-05, TI2: -0.01974486848393424
time: 79.0, P0: 0.9997230990153989, P1: 0.0002353981122977735, P2: 4.150287230308917e-05, TI2: -0.019761596143096048
time: 80.0, P0: 0.9997369368068032, P1: 0.00022382323642447313, P2: 3.923995677208517e-05, TI2: -0.019777696850031355
time: 81.0, P0: 0.9997494948413085, P1: 0.00021419719522023303, P2: 3.630796347112576e-05, TI2: -0.019793186877837515
time: 82.0, P0: 0.9997628060456057, P1: 0.0002017994850766264, P2: 3.5394469317466536e-05, TI2: -0.01980741157628844
time: 83.0, P0: 0.9997743008620888, P1: 0.0001927150614402782, P2: 3.298407647072461e-05, TI2: -0.019821316785618274
time: 84.0, P0: 0.9997860704521587, P1: 0.00018208135922103641, P2: 3.18481886200031e-05, TI2: -0.019834222263538957
time: 85.0, P0: 0.9997966118061702, P1: 0.00017347368709326176, P2: 2.991450673638341e-05, TI2: -0.019846697299433974
time: 86.0, P0: 0.9998072378510219, P1: 0.00016385226515176426, P2: 2.8909883826176054e-05, TI2: -0.019858327967195884
time: 87.0, P0: 0.9998163727045734, P1: 0.00015695899821938067, P2: 2.66682972071286e-05, TI2: -0.019869704407366365
time: 88.0, P0: 0.9998265674502056, P1: 0.00014684220622359113, P2: 2.659034357068914e-05, TI2: -0.01987997710663503
time: 89.0, P0: 0.9998341516721404, P1: 0.0001421583814338795, P2: 2.3689946425521764e-05, TI2: -0.019890461725715076
time: 90.0, P0: 0.9998431746835275, P1: 0.00013343362863493514, P2: 2.3391687837454922e-05, TI2: -0.019899782995690153
time: 91.0, P0: 0.9998506545177835, P1: 0.00012770406361432208, P2: 2.164141860202603e-05, TI2: -0.019909013099181624
time: 92.0, P0: 0.9998585717153092, P1: 0.00012035047710932072, P2: 2.1077807581324217e-05, TI2: -0.01991749390772803
time: 93.0, P0: 0.9998654050556688, P1: 0.00011497535641333678, P2: 1.9619587917742697e-05, TI2: -0.019925785467751176
time: 94.0, P0: 0.9998725809697879, P1: 0.00010825759172117201, P2: 1.9161438490832838e-05, TI2: -0.019933419531297163
time: 95.0, P0: 0.999878695281173, P1: 0.00010352183285760478, P2: 1.7782885969346088e-05, TI2: -0.0199409123952037
time: 96.0, P0: 0.9998850687056623, P1: 9.769239941036253e-05, P2: 1.7238894927339892e-05, TI2: -0.019947829810734955
