time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.00792
time: 53.0, P0: 0.41439732802189116, P1: 0.3428812499966858, P2: 0.2427214219814232, TI2: 0.8162440939595322
time: 54.0, P0: 0.41425079233369605, P1: 0.34324978347089025, P2: 0.24249942419541387, TI2: 0.816168631861718
time: 55.0, P0: 0.414365360190421, P1: 0.3428756334398853, P2: 0.2427590063696939, TI2: 0.8163136461792732
time: 56.0, P0: 0.4142245911325265, P1: 0.34324759248721864, P2: 0.242527816380255, TI2: 0.8162232252477287
time: 57.0, P0: 0.4143308628210633, P1: 0.34291335825210245, P2: 0.24275577892683436, TI2: 0.8163449161057712
time: 58.0, P0: 0.41420813901184605, P1: 0.3432459037655604, P2: 0.2425459572225937, TI2: 0.8162578182107478
time: 59.0, P0: 0.4143085948915255, P1: 0.34293854705573973, P2: 0.2427528580527349, TI2: 0.8163642631612095
time: 60.0, P0: 0.41418856819591277, P1: 0.3432713257365243, P2: 0.24254010606756302, TI2: 0.8162715378716503
time: 61.0, P0: 0.4143098600379726, P1: 0.3429101840994869, P2: 0.24277995586254056, TI2: 0.816390095824568
time: 62.0, P0: 0.41416525833694623, P1: 0.3433189873367252, P2: 0.24251575432632866, TI2: 0.8162704959893825
time: 63.0, P0: 0.4143286364839027, P1: 0.34284036112152555, P2: 0.24283100239457178, TI2: 0.8164223659106691
time: 64.0, P0: 0.41415076211803037, P1: 0.3433484330851937, P2: 0.242500804796776, TI2: 0.8162700426787457
time: 65.0, P0: 0.4143401362285882, P1: 0.34279729961352284, P2: 0.242862564157889, TI2: 0.8164424279293009
time: 66.0, P0: 0.41415354053225323, P1: 0.3433325698019816, P2: 0.24251388966576523, TI2: 0.8162803491335121
time: 67.0, P0: 0.41432976502003394, P1: 0.3428210149064607, P2: 0.24284922007350546, TI2: 0.8164394550534716
time: 68.0, P0: 0.4141603702877901, P1: 0.3433078952589619, P2: 0.24253173445324805, TI2: 0.816291364165458
time: 69.0, P0: 0.4143137544131277, P1: 0.34286330108404556, P2: 0.24282294450282688, TI2: 0.8164291900896993
time: 70.0, P0: 0.41415775858107506, P1: 0.3433123033678864, P2: 0.24252993805103867, TI2: 0.8162921794699638
time: 71.0, P0: 0.41431352674204924, P1: 0.34286146587127914, P2: 0.24282500738667173, TI2: 0.8164314806446226
time: 72.0, P0: 0.41414440564930854, P1: 0.3433488772562281, P2: 0.24250671709446348, TI2: 0.8162823114451551
time: 73.0, P0: 0.41433093915694724, P1: 0.34280961870653864, P2: 0.24285944213651423, TI2: 0.8164485029795671
time: 74.0, P0: 0.4141321434575582, P1: 0.3433830322110892, P2: 0.24248482433135266, TI2: 0.8162726808737946
time: 75.0, P0: 0.41434595449010203, P1: 0.3427652766155378, P2: 0.24288876889436026, TI2: 0.8164628144042583
time: 76.0, P0: 0.4141366297317034, P1: 0.34336928976814146, P2: 0.24249408050015525, TI2: 0.8162774507684519
time: 77.0, P0: 0.4143425138116076, P1: 0.3427745891029329, P2: 0.24288289708545965, TI2: 0.8164603832738522
time: 78.0, P0: 0.41414949597451434, P1: 0.34333164289225476, P2: 0.24251886113323107, TI2: 0.8162893651587168
time: 79.0, P0: 0.4143273902422257, P1: 0.34281785845416174, P2: 0.24285475130361273, TI2: 0.8164473610613872
time: 80.0, P0: 0.4142393130405875, P1: 0.3430719932359211, P2: 0.24268869372349164, TI2: 0.8163693806829042
