time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.0019200000000000016
time: 1.0, P0: 0.9808557141317555, P1: 0.016850239864229125, P2: 0.0022940460040153147, TI2: 0.003358331872259755
time: 2.0, P0: 0.9805228893807238, P1: 0.01649543253739019, P2: 0.00298167808188591, TI2: 0.004378788701162008
time: 3.0, P0: 0.9798632608441842, P1: 0.016880653717070943, P2: 0.00325608543874475, TI2: 0.005312824594560442
time: 4.0, P0: 0.9790998366760901, P1: 0.017473542311435403, P2: 0.0034266210124744415, TI2: 0.006246784336384286
time: 5.0, P0: 0.9782897039486264, P1: 0.01813727153090837, P2: 0.003573024520465253, TI2: 0.007203320571838875
time: 6.0, P0: 0.9774499743197859, P1: 0.018830337201814443, P2: 0.003719688478399601, TI2: 0.008189714158613644
time: 7.0, P0: 0.976579773859503, P1: 0.019554146816890623, P2: 0.0038660793236062895, TI2: 0.009206305464103198
time: 8.0, P0: 0.9756850436663277, P1: 0.020293903047853345, P2: 0.004021053285818916, TI2: 0.010256009619491177
time: 9.0, P0: 0.9747593285225844, P1: 0.021064407609305363, P2: 0.004176263868110141, TI2: 0.011336935345525646
time: 10.0, P0: 0.9738071673558397, P1: 0.021854304093484267, P2: 0.004338528550675946, TI2: 0.012451361194836159
time: 11.0, P0: 0.9728313243789456, P1: 0.02265652265927151, P2: 0.004512152961782907, TI2: 0.013600828582837324
time: 12.0, P0: 0.9718165803443367, P1: 0.023506930466875683, P2: 0.0046764891887875895, TI2: 0.014779908844450863
time: 13.0, P0: 0.9707789711226749, P1: 0.024366944704751998, P2: 0.004854084172573127, TI2: 0.015995113049898247
time: 14.0, P0: 0.9697179299279868, P1: 0.025237636559277618, P2: 0.0050444335127356275, TI2: 0.01724650358474887
time: 15.0, P0: 0.9686156242112484, P1: 0.026161320598444383, P2: 0.005223055190307246, TI2: 0.018527430979058877
time: 16.0, P0: 0.9674988836558748, P1: 0.027073906022429938, P2: 0.005427210321695368, TI2: 0.019848326665820672
time: 17.0, P0: 0.9663421274627091, P1: 0.02803635127531276, P2: 0.005621521261978186, TI2: 0.021199393799269127
time: 18.0, P0: 0.9651617259684758, P1: 0.02900968000286011, P2: 0.005828594028664039, TI2: 0.022586868060188187
time: 19.0, P0: 0.9639553044205911, P1: 0.029999707093762523, P2: 0.006044988485646455, TI2: 0.02400968406505543
time: 20.0, P0: 0.962706725321382, P1: 0.031045165545682128, P2: 0.006248109132935858, TI2: 0.025461383811553842
time: 21.0, P0: 0.9614511539749173, P1: 0.03206255869096758, P2: 0.006486287334115108, TI2: 0.026955133359197796
time: 22.0, P0: 0.9601500439836275, P1: 0.03314426969562866, P2: 0.006705686320743837, TI2: 0.028475642337116334
time: 23.0, P0: 0.9588221305845169, P1: 0.03424619809324967, P2: 0.006931671322233352, TI2: 0.03002954073771637
time: 24.0, P0: 0.957484959110462, P1: 0.03532719334095129, P2: 0.007187847548586601, TI2: 0.03162288843812448
