time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.01188
time: 1.0, P0: 0.9688228655525055, P1: 0.02718717579150875, P2: 0.003989958655985756, TI2: 0.027047093103480257
time: 2.0, P0: 0.948860406802065, P1: 0.04236135678521741, P2: 0.008778236412717619, TI2: 0.05179782961065264
time: 3.0, P0: 0.9158127249425551, P1: 0.06812765654480785, P2: 0.016059618512637097, TI2: 0.09212689357008204
time: 4.0, P0: 0.8637699520924018, P1: 0.1080117848429219, P2: 0.028218263064676338, TI2: 0.1563283109722746
time: 5.0, P0: 0.7867953389343627, P1: 0.164481539641192, P2: 0.04872312142444537, TI2: 0.25380778249008273
time: 6.0, P0: 0.6825018119131971, P1: 0.2348886477709839, P2: 0.08260954031581912, TI2: 0.3919877284026224
time: 7.0, P0: 0.5568847805874083, P1: 0.3090047736330624, P2: 0.1341104457795294, TI2: 0.5691056651921212
time: 8.0, P0: 0.4270229516417082, P1: 0.3682190793073895, P2: 0.20475796905090227, TI2: 0.7696150174091941
time: 9.0, P0: 0.312099202784604, P1: 0.4015720232698581, P2: 0.286328773945538, TI2: 0.9661095711609342
time: 10.0, P0: 0.22476941026666855, P1: 0.4089339033823996, P2: 0.3662966863509317, TI2: 1.1334072760842633
time: 11.0, P0: 0.16620004445140996, P1: 0.3999688496195589, P2: 0.43383110592903096, TI2: 1.2595110614776213
time: 12.0, P0: 0.1297356318602561, P1: 0.3866262966526586, P2: 0.48363807148708515, TI2: 1.3457824396268294
time: 13.0, P0: 0.10800267541006231, P1: 0.37494103361862285, P2: 0.5170562909713147, TI2: 1.4009336155612526
time: 14.0, P0: 0.09544829583604968, P1: 0.3662737094905773, P2: 0.5382779946733729, TI2: 1.4347096988373236
time: 15.0, P0: 0.08830242458566563, P1: 0.3604523981538996, P2: 0.5512451772604345, TI2: 1.4548227526747695
time: 16.0, P0: 0.08414181753115452, P1: 0.35701134396577355, P2: 0.5588468385030718, TI2: 1.4665850209719178
time: 17.0, P0: 0.08182767965325857, P1: 0.3548273305641811, P2: 0.5633449897825602, TI2: 1.473397310129302
time: 18.0, P0: 0.08045309038598085, P1: 0.3536449036096273, P2: 0.5659020060043917, TI2: 1.4773289156184113
time: 19.0, P0: 0.07973873185988771, P1: 0.35282928486585624, P2: 0.5674319832742559, TI2: 1.4795732514143685
time: 20.0, P0: 0.07921954270480332, P1: 0.35258926077440944, P2: 0.5681911965207872, TI2: 1.4808516538159842
time: 21.0, P0: 0.07905650927325682, P1: 0.352151098408992, P2: 0.5687923923177511, TI2: 1.4816158830444945
time: 22.0, P0: 0.07888615269452981, P1: 0.35209145107670137, P2: 0.5690223962287687, TI2: 1.4820162435342392
time: 23.0, P0: 0.07876922837951143, P1: 0.35209451443597484, P2: 0.5691362571845137, TI2: 1.4822470288050025
time: 24.0, P0: 0.07882940694890593, P1: 0.35177896495999106, P2: 0.5693916280911029, TI2: 1.482442221142197
time: 25.0, P0: 0.07865561192256737, P1: 0.3521233607196908, P2: 0.5692210273577417, TI2: 1.4824454154351745
time: 26.0, P0: 0.07878952173191321, P1: 0.3517285495668122, P2: 0.5694819287012745, TI2: 1.4825724069693613
time: 27.0, P0: 0.07867110811876118, P1: 0.35199822597802594, P2: 0.5693306659032128, TI2: 1.482539557784452
time: 28.0, P0: 0.07869837234097027, P1: 0.35191064526367827, P2: 0.5693909823953515, TI2: 1.4825726100543815
time: 29.0, P0: 0.07875447757594806, P1: 0.35175763248242514, P2: 0.5694878899416268, TI2: 1.4826134123656791
time: 30.0, P0: 0.07864938479190596, P1: 0.3520190039075431, P2: 0.5693316113005509, TI2: 1.4825622265086453
time: 31.0, P0: 0.07878545076478932, P1: 0.35166939343588466, P2: 0.5695451557993261, TI2: 1.482639705034537
time: 32.0, P0: 0.07864907425133888, P1: 0.3520144232933498, P2: 0.5693365024553113, TI2: 1.482567428203973
time: 33.0, P0: 0.07876320538856842, P1: 0.35172289466339024, P2: 0.5695138999480414, TI2: 1.4826306945594734
time: 34.0, P0: 0.0786552478016417, P1: 0.35199694769444795, P2: 0.5693478045039104, TI2: 1.4825725567022692
time: 35.0, P0: 0.07872446542229579, P1: 0.3518204516807883, P2: 0.569455082896916, TI2: 1.4826106174746208
time: 36.0, P0: 0.0786836504748929, P1: 0.3519240951096897, P2: 0.5693922544154175, TI2: 1.4825886039405254
time: 37.0, P0: 0.078662953298149, P1: 0.35197664307859444, P2: 0.5693604036232568, TI2: 1.4825774503251086
time: 38.0, P0: 0.0787673985254456, P1: 0.35171079740804323, P2: 0.5695218040665114, TI2: 1.4826344055410667
time: 39.0, P0: 0.0786106521496006, P1: 0.3521096240547322, P2: 0.5692797237956675, TI2: 1.4825490716460679
time: 40.0, P0: 0.07879030608048067, P1: 0.3516524479285719, P2: 0.5695572459909477, TI2: 1.4826469399104678
time: 41.0, P0: 0.07865324466918808, P1: 0.3520012007966407, P2: 0.5693455545341715, TI2: 1.4825723098649843
time: 42.0, P0: 0.07871790495707355, P1: 0.3518366657172723, P2: 0.5694454293256543, TI2: 1.4826075243685817
time: 43.0, P0: 0.07872249950306964, P1: 0.35182496004212727, P2: 0.5694525404548034, TI2: 1.4826100409517347
time: 44.0, P0: 0.07867365440983072, P1: 0.3519492551839975, P2: 0.569377090406172, TI2: 1.4825834359963421
time: 45.0, P0: 0.07874749536920075, P1: 0.3517613544394837, P2: 0.5694911501913158, TI2: 1.4826236548221159
time: 46.0, P0: 0.07865435720669102, P1: 0.351998353110607, P2: 0.5693472896827022, TI2: 1.4825729324760122
time: 47.0, P0: 0.07876067686048292, P1: 0.35172781227858035, P2: 0.569511510860937, TI2: 1.482630834000455
time: 48.0, P0: 0.07863897379945481, P1: 0.3520374963189236, P2: 0.5693235298816218, TI2: 1.4825645560821679
time: 49.0, P0: 0.07874225030711791, P1: 0.35177470004687, P2: 0.5694830496460124, TI2: 1.4826207993388953
time: 50.0, P0: 0.07872422408586581, P1: 0.3518205630350033, P2: 0.5694552128791313, TI2: 1.4826109887932664
