time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.013920000000000002
time: 1.0, P0: 0.973150885683217, P1: 0.0190453235311059, P2: 0.0078037907856771, TI2: 0.028572905102460102
time: 2.0, P0: 0.9605747840508336, P1: 0.025049520110210156, P2: 0.014375695838956242, TI2: 0.047720911788122634
time: 3.0, P0: 0.9412392470883496, P1: 0.036187058107302064, P2: 0.022573694804348267, TI2: 0.07525444771599861
time: 4.0, P0: 0.91291976389825, P1: 0.052830651204331024, P2: 0.03424958489741898, TI2: 0.11524982099916897
time: 5.0, P0: 0.8727391904762783, P1: 0.07610192175177612, P2: 0.05115888777194548, TI2: 0.17233969729566706
time: 6.0, P0: 0.8178926145548343, P1: 0.10661711310829436, P2: 0.07549027233687138, TI2: 0.25151765778203705
time: 7.0, P0: 0.7466141699465394, P1: 0.14433439486803445, P2: 0.10905143518542611, TI2: 0.35635726523888667
time: 8.0, P0: 0.6600356786154173, P1: 0.1862323623743719, P2: 0.1537319590102106, TI2: 0.48761628039479304
time: 9.0, P0: 0.5627579536262199, P1: 0.22851407226710022, P2: 0.2087279741066798, TI2: 0.6398900204804597
time: 10.0, P0: 0.4636480345537611, P1: 0.26378902685702016, P2: 0.2725629385892187, TI2: 0.8028349040354574
time: 11.0, P0: 0.3714914464631092, P1: 0.28997941752325157, P2: 0.3385291360136391, TI2: 0.9609576895505296
time: 12.0, P0: 0.2938057862089658, P1: 0.3047132068032545, P2: 0.4014810069877796, TI2: 1.1015952207788136
time: 13.0, P0: 0.23339437333018237, P1: 0.3105226165749015, P2: 0.45608301009491603, TI2: 1.2166086367647333
time: 14.0, P0: 0.18918136449398787, P1: 0.31159479021359743, P2: 0.49922384529241454, TI2: 1.3039624807984262
time: 15.0, P0: 0.15852099531646557, P1: 0.3098296739102647, P2: 0.5316493307732695, TI2: 1.3670483354568037
time: 16.0, P0: 0.13793468014668125, P1: 0.30732094870261345, P2: 0.5547443711507051, TI2: 1.4107296910040235
time: 17.0, P0: 0.12430943274441193, P1: 0.3053710519991002, P2: 0.5703195152564877, TI2: 1.4399300825120753
time: 18.0, P0: 0.11557462719156186, P1: 0.30348298970158477, P2: 0.5809423831068532, TI2: 1.459287755915291
