time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: -7.999999999999674e-05
time: 1.0, P0: 0.9841305221157535, P1: 0.012321811267644232, P2: 0.0035476666166022646, TI2: -0.0006628554991512377
time: 2.0, P0: 0.9859028433989868, P1: 0.010585541617160278, P2: 0.0035116149838529775, TI2: -0.002471228415133764
time: 3.0, P0: 0.9873179711116588, P1: 0.009491837874803257, P2: 0.0031901910135380567, TI2: -0.004207780098120625
time: 4.0, P0: 0.9885719866868085, P1: 0.008552050502923677, P2: 0.0028759628102678625, TI2: -0.005776023876540594
time: 5.0, P0: 0.9896969202422881, P1: 0.007710947161402991, P2: 0.0025921325963089367, TI2: -0.007184787645979132
time: 6.0, P0: 0.9907055166683112, P1: 0.006961091238098656, P2: 0.002333392093590217, TI2: -0.008452124574720905
time: 7.0, P0: 0.991616571489071, P1: 0.006275766139430553, P2: 0.0021076623714984407, TI2: -0.009588909117572562
time: 8.0, P0: 0.9924336746012667, P1: 0.005666086141484403, P2: 0.0019002392572488702, TI2: -0.010613435344017852
time: 9.0, P0: 0.9931679589158681, P1: 0.005120680898582259, P2: 0.0017113601855496979, TI2: -0.01153659873031834
time: 10.0, P0: 0.9938328624177661, P1: 0.004619969983239672, P2: 0.0015471675989941701, TI2: -0.012365694818771984
time: 11.0, P0: 0.9944317822723965, P1: 0.004169347700395356, P2: 0.0013988700272081682, TI2: -0.013112912245188305
time: 12.0, P0: 0.994968279852914, P1: 0.0037721866512350397, P2: 0.0012595334958510336, TI2: -0.013788746357062889
time: 13.0, P0: 0.9954537715555027, P1: 0.00340951807833663, P2: 0.0011367103661606604, TI2: -0.014397061189342046
time: 14.0, P0: 0.995893638392817, P1: 0.0030772415202552613, P2: 0.0010291200869278164, TI2: -0.014944518305889103
time: 15.0, P0: 0.9962896606817422, P1: 0.0027797739772027893, P2: 0.0009305653410550545, TI2: -0.015439095340687098
time: 16.0, P0: 0.9966458939939272, P1: 0.0025145029219655435, P2: 0.000839603084107261, TI2: -0.01588629090981993
time: 17.0, P0: 0.9969675966080593, P1: 0.0022747557999293106, P2: 0.0007576475920113966, TI2: -0.01628994901604789
time: 18.0, P0: 0.9972603104429696, P1: 0.002052345465138995, P2: 0.0006873440918914081, TI2: -0.016652966351078182
time: 19.0, P0: 0.9975227470196115, P1: 0.0018566251077354473, P2: 0.0006206278726530373, TI2: -0.016982119146958474
time: 20.0, P0: 0.9977588570263551, P1: 0.0016823741496096774, P2: 0.0005587688240351699, TI2: -0.01728008820231998
time: 21.0, P0: 0.9979741586829399, P1: 0.0015196544144155345, P2: 0.0005061869026445018, TI2: -0.01754797178029546
time: 22.0, P0: 0.9981687750992905, P1: 0.0013724350100555245, P2: 0.0004587898906539848, TI2: -0.0177899852086365
time: 23.0, P0: 0.9983440076221513, P1: 0.001241112926617905, P2: 0.0004148794512308992, TI2: -0.018009128170920295
time: 24.0, P0: 0.9985014844175233, P1: 0.0011248284608798998, P2: 0.0003736871215968047, TI2: -0.018207797295926486
time: 25.0, P0: 0.9986452488813525, P1: 0.0010159359609406727, P2: 0.0003388151577068522, TI2: -0.01838643372364562
time: 26.0, P0: 0.9987753882056187, P1: 0.0009170299344731582, P2: 0.0003075818599082286, TI2: -0.01854780634571038
time: 27.0, P0: 0.9988912648977906, P1: 0.0008323591393623427, P2: 0.00027637596284713333, TI2: -0.018694888934943383
time: 28.0, P0: 0.9989968923855627, P1: 0.0007535195212600929, P2: 0.0002495880931772556, TI2: -0.01882730429238539
time: 29.0, P0: 0.9990932637098745, P1: 0.0006799366267553801, P2: 0.00022679966337023637, TI2: -0.01894646404650414
time: 30.0, P0: 0.9991800573684726, P1: 0.0006143391388298329, P2: 0.000205603492697587, TI2: -0.01905445387577499
time: 31.0, P0: 0.9992579261280027, P1: 0.0005566753795250381, P2: 0.00018539849247233838, TI2: -0.01915252763553028
time: 32.0, P0: 0.9993283207824399, P1: 0.0005046015316584756, P2: 0.00016707768590165536, TI2: -0.01924124309653821
time: 33.0, P0: 0.999393294162529, P1: 0.00045402043190205624, P2: 0.0001526854055690127, TI2: -0.019320608756959914
time: 34.0, P0: 0.9994506955420983, P1: 0.0004119112004831208, P2: 0.00013739325741868712, TI2: -0.019393302284679503
time: 35.0, P0: 0.9995022976832917, P1: 0.0003746700437758709, P2: 0.0001230322729326295, TI2: -0.01945926541035887
time: 36.0, P0: 0.9995502066862177, P1: 0.00033769581453284254, P2: 0.00011209749924953842, TI2: -0.019518109186968075
time: 37.0, P0: 0.999593414492624, P1: 0.0003045940377406118, P2: 0.00010199146963564398, TI2: -0.019571423022988095
time: 38.0, P0: 0.999632140690948, P1: 0.00027560816126757763, P2: 9.225114778455968e-05, TI2: -0.0196198895431633
time: 39.0, P0: 0.9996666046285435, P1: 0.0002509025613610387, P2: 8.249281009563079e-05, TI2: -0.019664111818447697
time: 40.0, P0: 0.9996989080035562, P1: 0.00022555003559244659, P2: 7.554196085146143e-05, TI2: -0.019703366042704628
time: 41.0, P0: 0.9997278528705028, P1: 0.00020335742971436922, P2: 6.878969978301667e-05, TI2: -0.019739063170719596
time: 42.0, P0: 0.9997528170962078, P1: 0.00018653738301718797, P2: 6.0645520775235855e-05, TI2: -0.01977217157543234
time: 43.0, P0: 0.9997765321666041, P1: 0.00016830645901521233, P2: 5.516137438081439e-05, TI2: -0.019801370792223157
time: 44.0, P0: 0.9997982149467408, P1: 0.0001512056445061691, P2: 5.05794087531826e-05, TI2: -0.019827635537987463
time: 45.0, P0: 0.9998175458938026, P1: 0.00013649635596292312, P2: 4.595775023470922e-05, TI2: -0.019851588143567658
time: 46.0, P0: 0.999834569561699, P1: 0.00012442991954920418, P2: 4.100051875200272e-05, TI2: -0.01987356904294679
time: 47.0, P0: 0.9998502929120527, P1: 0.00011265586546956693, P2: 3.7051222477961e-05, TI2: -0.01989324168957451
time: 48.0, P0: 0.9998652519450182, P1: 0.00010004761682413134, P2: 3.470043815802738e-05, TI2: -0.019910551506859813
time: 49.0, P0: 0.999877202717207, P1: 9.286287361763709e-05, P2: 2.9934409175661562e-05, TI2: -0.019927268308031036
time: 50.0, P0: 0.9998889763926012, P1: 8.379954836177849e-05, P2: 2.7224059037297785e-05, TI2: -0.019941752333563625
