time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.01192
time: 1.0, P0: 0.9753556680404559, P1: 0.017811966582461463, P2: 0.006832365377082544, TI2: 0.023396697336626547
time: 2.0, P0: 0.9665411330446043, P1: 0.022130412796811532, P2: 0.011328454158584127, TI2: 0.036707321113979785
time: 3.0, P0: 0.9538507253634902, P1: 0.029887209100419032, P2: 0.016262065536090727, TI2: 0.05433134017260048
time: 4.0, P0: 0.9364972617981429, P1: 0.04078939012077386, P2: 0.02271334808108326, TI2: 0.07813608628294037
time: 5.0, P0: 0.9132922340222714, P1: 0.05527648755547048, P2: 0.03143127842225808, TI2: 0.11005904439998664
time: 6.0, P0: 0.8828907083983908, P1: 0.07400484414633667, P2: 0.04310444745527246, TI2: 0.1521337390568816
time: 7.0, P0: 0.8441580361925745, P1: 0.09718907975799278, P2: 0.05865288404943257, TI2: 0.20641484785685793
time: 8.0, P0: 0.7962580163796197, P1: 0.12523971371965625, P2: 0.078502269900724, TI2: 0.27416425352110424
time: 9.0, P0: 0.7397012619916024, P1: 0.1565530965092357, P2: 0.1037456414991618, TI2: 0.3559643795075592
time: 10.0, P0: 0.6756777250816011, P1: 0.19074486951812267, P2: 0.1335774054002761, TI2: 0.44981968031867486
time: 11.0, P0: 0.6076696949160095, P1: 0.22391907654667115, P2: 0.16841122853731919, TI2: 0.5526615336213094
time: 12.0, P0: 0.5391319576057012, P1: 0.25523719057116795, P2: 0.20563085182313073, TI2: 0.6584188942174292
time: 13.0, P0: 0.47449899283541014, P1: 0.2816367863430086, P2: 0.24386422082158096, TI2: 0.7612852279861704
time: 14.0, P0: 0.4170190385295061, P1: 0.3022559477141057, P2: 0.28072501375638786, TI2: 0.8556259752268812
time: 15.0, P0: 0.3682898571347586, P1: 0.31810729613484223, P2: 0.31360284673039884, TI2: 0.9372329895956398
time: 16.0, P0: 0.32912746355664624, P1: 0.3287302427544441, P2: 0.3421422936889093, TI2: 1.0049348301322625
time: 17.0, P0: 0.29860897223844685, P1: 0.33606271481417654, P2: 0.3653283129473763, TI2: 1.058639340708929
time: 18.0, P0: 0.27549163603083704, P1: 0.34107661780180953, P2: 0.3834317461673531, TI2: 1.0998601101365155
time: 19.0, P0: 0.2585362601563497, P1: 0.3439006877952622, P2: 0.39756305204838777, TI2: 1.1309467918920375
time: 20.0, P0: 0.24601681693377514, P1: 0.34631739100337267, P2: 0.4076657920628518, TI2: 1.153568975129076
time: 21.0, P0: 0.23721325259471832, P1: 0.3472631046865266, P2: 0.41552364271875464, TI2: 1.1702303901240358
