time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.00992
time: 1.0, P0: 0.9741176249999924, P1: 0.020855993500387637, P2: 0.005026381499619821, TI2: 0.02082875649962728
time: 2.0, P0: 0.9641779505538193, P1: 0.026490806374040037, P2: 0.009331243072140626, TI2: 0.035073292518321295
time: 3.0, P0: 0.9495507398394913, P1: 0.03616389568668539, P2: 0.014285364473823196, TI2: 0.05465462463433178
time: 4.0, P0: 0.9289660309545076, P1: 0.050200651156744706, P2: 0.02083331788874758, TI2: 0.08178728693423985
time: 5.0, P0: 0.9007424115317166, P1: 0.06936370197771026, P2: 0.029893886490573077, TI2: 0.1190714749588564
time: 6.0, P0: 0.8630202876487859, P1: 0.09451042368357912, P2: 0.042469288667634955, TI2: 0.16936900101884902
time: 7.0, P0: 0.8141614043236762, P1: 0.12607354545622895, P2: 0.059765050220094804, TI2: 0.2355236458964185
time: 8.0, P0: 0.7534166655677621, P1: 0.16349555966486645, P2: 0.0830877747673714, TI2: 0.31959110919960926
time: 9.0, P0: 0.6814205992978575, P1: 0.20541896402354498, P2: 0.11316043667859745, TI2: 0.4216598373807398
time: 10.0, P0: 0.601496348858063, P1: 0.24740502608147585, P2: 0.1510986250604609, TI2: 0.5395222762023976
time: 11.0, P0: 0.5180539251955975, P1: 0.28691293895584435, P2: 0.1950331358485581, TI2: 0.6668992106529607
time: 12.0, P0: 0.43759868610592456, P1: 0.3186211944801037, P2: 0.2437801194139717, TI2: 0.7961014333080472
time: 13.0, P0: 0.36493450718712434, P1: 0.34209911872418053, P2: 0.292966374088695, TI2: 0.9179518669015706
time: 14.0, P0: 0.3040791109118293, P1: 0.35569114252555484, P2: 0.3402297465626158, TI2: 1.0260706356507863
time: 15.0, P0: 0.2554292996002064, P1: 0.3631193354978294, P2: 0.3814513649019643, TI2: 1.1159420653017578
time: 16.0, P0: 0.2186279697523619, P1: 0.3653525686033446, P2: 0.4160194616442935, TI2: 1.1873114918919316
time: 17.0, P0: 0.1915725731052714, P1: 0.36522175740621604, P2: 0.4432056694885125, TI2: 1.241553096383241
time: 18.0, P0: 0.17220850132521875, P1: 0.3639904944299771, P2: 0.463801004244804, TI2: 1.2815125029195853
time: 19.0, P0: 0.15863867014643362, P1: 0.3623352876818538, P2: 0.4790260421717125, TI2: 1.310307372025279
time: 20.0, P0: 0.14916269428667495, P1: 0.3609738931748906, P2: 0.48986341253843435, TI2: 1.3306207182517593
time: 21.0, P0: 0.1426642520485624, P1: 0.3597588585094455, P2: 0.497576889441992, TI2: 1.3448326373934296
time: 22.0, P0: 0.13821531756182917, P1: 0.35882259081799905, P2: 0.5029620916201717, TI2: 1.3546667740583425
time: 23.0, P0: 0.13511501682024202, P1: 0.3583000560652029, P2: 0.506584927114555, TI2: 1.361389910294313
time: 24.0, P0: 0.1331283856575091, P1: 0.3575779792331009, P2: 0.50929363510939, TI2: 1.3660852494518807
time: 25.0, P0: 0.13161822757398423, P1: 0.3575248595870772, P2: 0.5108569128389385, TI2: 1.3691586852649542
time: 26.0, P0: 0.1306581477710148, P1: 0.35728581296033307, P2: 0.512056039268652, TI2: 1.3713178914976372
time: 27.0, P0: 0.13015134570952702, P1: 0.35670408885681104, P2: 0.5131445654336618, TI2: 1.3729132197241347
time: 28.0, P0: 0.12956944125874917, P1: 0.3570115410415478, P2: 0.5134190176997029, TI2: 1.3737695764409537
time: 29.0, P0: 0.12929697892709546, P1: 0.3568469598518562, P2: 0.5138560612210481, TI2: 1.3744790822939525
time: 30.0, P0: 0.12918720226086133, P1: 0.35650891210357094, P2: 0.5143038856355675, TI2: 1.375036683374706
time: 31.0, P0: 0.12889851432155638, P1: 0.3569292786457928, P2: 0.5141722070326507, TI2: 1.3751936927110942
time: 32.0, P0: 0.12891050994587117, P1: 0.3565808646906584, P2: 0.5145086253634702, TI2: 1.375518115417599
time: 33.0, P0: 0.12884114410986292, P1: 0.3565813374487059, P2: 0.514577518441431, TI2: 1.3756563743315677
time: 34.0, P0: 0.1286876862504255, P1: 0.35690602305502145, P2: 0.5144062906945528, TI2: 1.375638604444127
time: 35.0, P0: 0.12882508893324798, P1: 0.35638836746504754, P2: 0.5147865436017043, TI2: 1.3758814546684561
time: 36.0, P0: 0.12870113042429135, P1: 0.356701111931936, P2: 0.5145977576437725, TI2: 1.375816627219481
time: 37.0, P0: 0.12864777877282008, P1: 0.35681913376555335, P2: 0.5145330874616264, TI2: 1.3758053086888062
time: 38.0, P0: 0.12881301962658143, P1: 0.35628313111726273, P2: 0.5149038492561557, TI2: 1.376010829629574
time: 39.0, P0: 0.12863348121509663, P1: 0.3568115633902662, P2: 0.514554955394637, TI2: 1.3758414741795402
time: 40.0, P0: 0.12868589346171577, P1: 0.3566371112701218, P2: 0.5146769952681622, TI2: 1.3759111018064463
time: 41.0, P0: 0.12875592603886585, P1: 0.3564132710140236, P2: 0.5148308029471104, TI2: 1.3759948769082444
time: 42.0, P0: 0.1286114589538202, P1: 0.3568487558267049, P2: 0.5145397852194747, TI2: 1.3758483262656545
time: 43.0, P0: 0.12874059117069328, P1: 0.35644927102962537, P2: 0.5148101377996811, TI2: 1.3759895466289875
time: 44.0, P0: 0.1286788043944278, P1: 0.3566352950947379, P2: 0.5146859005108341, TI2: 1.375927096116406
time: 45.0, P0: 0.12862554373191265, P1: 0.3567962254941155, P2: 0.5145782307739716, TI2: 1.3758726870420588
time: 46.0, P0: 0.1287689234587281, P1: 0.3563561609038612, P2: 0.5148749156374106, TI2: 1.3760259921786824
time: 47.0, P0: 0.1286225785162663, P1: 0.35680297255837873, P2: 0.5145744489253549, TI2: 1.3758718704090884
time: 48.0, P0: 0.12865999232024175, P1: 0.35668787964698756, P2: 0.5146521280327706, TI2: 1.3759121357125288
time: 49.0, P0: 0.12876362692812687, P1: 0.35637034491567543, P2: 0.5148660281561979, TI2: 1.3760224012280708
time: 50.0, P0: 0.12869584287553681, P1: 0.356577423640589, P2: 0.5147267334838743, TI2: 1.3759508906083375
